experiment,fault_param,fault_param_name,fault_param_val,trefi,trefi_val,ber,ppl,ppl_is_infinite,ppl_is_nan,tres_hours,temp_c,seed
fault_llama_fp16_bitwise16_bit16-15_bersem-independent_lpddr5_Vendor-A_trefi3200_tres1h_T45_ber-7.774046816089175e-05_seed-42,bit16-15,bit16,15,trefi3200,3200,7.774046816089175e-05,12.932762671829982,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-0_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-0,bit16,0,trefi4096,4096,0.0001671646860548215,12.885385704946414,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-1_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-1,bit16,1,trefi4096,4096,0.0001671646860548215,12.885238939689758,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-2_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-2,bit16,2,trefi4096,4096,0.0001671646860548215,12.885445095333706,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-3_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-3,bit16,3,trefi4096,4096,0.0001671646860548215,12.88536165798404,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-4_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-4,bit16,4,trefi4096,4096,0.0001671646860548215,12.885521447431525,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-5_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-5,bit16,5,trefi4096,4096,0.0001671646860548215,12.88550465706115,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-6_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-6,bit16,6,trefi4096,4096,0.0001671646860548215,12.885207162315714,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-7_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-7,bit16,7,trefi4096,4096,0.0001671646860548215,12.885550578946319,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-8_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-8,bit16,8,trefi4096,4096,0.0001671646860548215,12.887016121583311,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-9_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-9,bit16,9,trefi4096,4096,0.0001671646860548215,12.890505072839565,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-10_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-10,bit16,10,trefi4096,4096,0.0001671646860548215,12.901576252312418,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-11_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-11,bit16,11,trefi4096,4096,0.0001671646860548215,13.007328641318566,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-12_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-12,bit16,12,trefi4096,4096,0.0001671646860548215,24.09531001755693,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-13_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-13,bit16,13,trefi4096,4096,0.0001671646860548215,1144749053242.8025,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-14_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-14,bit16,14,trefi4096,4096,0.0001671646860548215,nan,False,True,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-15_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001671646860548215_seed-42,bit16-15,bit16,15,trefi4096,4096,0.0001671646860548215,13.025687523852632,False,False,1.0,45.0,42
